Ve,Watts
30.0,1137.73
29.94,1126.07
29.88,1114.53
29.82,1103.12
29.76,1091.81
29.7,1080.63
29.64,1069.56
29.58,1058.6
29.52,1047.75
29.46,1037.02
29.4,1026.39
29.34,1015.88
29.28,1005.47
29.22,995.17
29.16,984.97
29.1,974.88
29.04,964.89
28.98,955.01
28.92,945.22
28.86,935.54
28.8,925.95
28.74,916.47
28.68,907.08
28.62,897.78
28.56,888.58
28.5,879.48
28.44,870.47
28.38,861.55
28.32,852.72
28.26,843.99
28.2,835.34
28.14,826.78
28.08,818.31
28.02,809.93
27.96,801.63
27.9,793.42
27.84,785.29
27.78,777.24
27.72,769.28
27.66,761.4
27.6,753.6
27.54,745.88
27.47,738.23
27.41,730.67
27.35,723.18
27.29,715.77
27.23,708.44
27.17,701.18
27.11,694.0
27.05,686.89
26.99,679.85
26.93,672.89
26.87,665.99
26.81,659.17
26.75,652.42
26.69,645.73
26.63,639.12
26.57,632.57
26.51,626.09
26.45,619.67
26.39,613.32
26.33,607.04
26.27,600.82
26.21,594.66
26.15,588.57
26.09,582.54
26.03,576.57
25.97,570.67
25.91,564.82
25.85,559.03
25.79,553.3
25.73,547.64
25.67,542.02
25.61,536.47
25.55,530.98
25.49,525.54
25.43,520.15
25.37,514.82
25.31,509.55
25.25,504.33
25.19,499.16
25.13,494.05
25.07,488.98
25.01,483.97
24.95,479.02
24.89,474.11
24.83,469.25
24.77,464.44
24.71,459.68
24.65,454.97
24.59,450.31
24.53,445.7
24.47,441.13
24.41,436.61
24.35,432.14
24.29,427.71
24.23,423.33
24.17,418.99
24.11,414.7
24.05,410.45
23.99,406.25
23.93,402.08
23.87,397.96
23.81,393.89
23.75,389.85
23.69,385.86
23.63,381.9
23.57,377.99
23.51,374.12
23.45,370.29
23.39,366.49
23.33,362.74
23.27,359.02
23.21,355.34
23.15,351.7
23.09,348.1
23.03,344.53
22.97,341.0
22.91,337.51
22.85,334.05
22.79,330.63
22.73,327.24
22.67,323.89
22.61,320.57
22.55,317.29
22.48,314.03
22.42,310.82
22.36,307.63
22.3,304.48
22.24,301.36
22.18,298.27
22.12,295.22
22.06,292.19
22.0,289.2
21.94,286.24
21.88,283.3
21.82,280.4
21.76,277.53
21.7,274.69
21.64,271.87
21.58,269.09
21.52,266.33
21.46,263.6
21.4,260.9
21.34,258.23
21.28,255.58
21.22,252.96
21.16,250.37
21.1,247.81
21.04,245.27
20.98,242.75
20.92,240.27
20.86,237.8
20.8,235.37
20.74,232.96
20.68,230.57
20.62,228.21
20.56,225.87
20.5,223.56
20.44,221.27
20.38,219.0
20.32,216.75
20.26,214.53
20.2,212.34
20.14,210.16
20.08,208.01
20.02,205.88
19.96,203.77
19.9,201.68
19.84,199.61
19.78,197.57
19.72,195.54
19.66,193.54
19.6,191.56
19.54,189.59
19.48,187.65
19.42,185.73
19.36,183.83
19.3,181.94
19.24,180.08
19.18,178.23
19.12,176.41
19.06,174.6
19.0,172.81
18.94,171.04
18.88,169.29
18.82,167.55
18.76,165.84
18.7,164.14
18.64,162.46
18.58,160.79
18.52,159.15
18.46,157.51
18.4,155.9
18.34,154.3
18.28,152.72
18.22,151.16
18.16,149.61
18.1,148.08
18.04,146.56
17.98,145.06
17.92,143.57
17.86,142.1
17.8,140.64
17.74,139.2
17.68,137.78
17.62,136.37
17.56,134.97
17.49,133.59
17.43,132.22
17.37,130.86
17.31,129.52
17.25,128.19
17.19,126.88
17.13,125.58
17.07,124.29
17.01,123.02
16.95,121.76
16.89,120.51
16.83,119.28
16.77,118.06
16.71,116.85
16.65,115.65
16.59,114.47
16.53,113.29
16.47,112.13
16.41,110.98
16.35,109.85
16.29,108.72
16.23,107.61
16.17,106.5
16.11,105.41
16.05,104.33
15.99,103.26
15.93,102.21
15.87,101.16
15.81,100.12
15.75,99.1
15.69,98.08
15.63,97.08
15.57,96.08
15.51,95.1
15.45,94.12
15.39,93.16
15.33,92.2
15.27,91.26
15.21,90.32
15.15,89.4
15.09,88.48
15.03,87.58
14.97,86.68
14.91,85.79
14.85,84.91
14.79,84.04
14.73,83.18
14.67,82.33
14.61,81.49
14.55,80.65
14.49,79.82
14.43,79.01
14.37,78.2
14.31,77.4
14.25,76.6
14.19,75.82
14.13,75.04
14.07,74.27
14.01,73.51
13.95,72.76
13.89,72.01
13.83,71.28
13.77,70.55
13.71,69.82
13.65,69.11
13.59,68.4
13.53,67.7
13.47,67.0
13.41,66.32
13.35,65.64
13.29,64.97
13.23,64.3
13.17,63.64
13.11,62.99
13.05,62.34
12.99,61.71
12.93,61.07
12.87,60.45
12.81,59.83
12.75,59.22
12.69,58.61
12.63,58.01
12.57,57.41
12.51,56.83
12.44,56.24
12.38,55.67
12.32,55.1
12.26,54.53
12.2,53.97
12.14,53.42
12.08,52.87
12.02,52.33
11.96,51.8
11.9,51.26
11.84,50.74
11.78,50.22
11.72,49.71
11.66,49.2
11.6,48.69
11.54,48.19
11.48,47.7
11.42,47.21
11.36,46.73
11.3,46.25
11.24,45.77
11.18,45.31
11.12,44.84
11.06,44.38
11.0,43.93
10.94,43.48
10.88,43.03
10.82,42.59
10.76,42.15
10.7,41.72
10.64,41.29
10.58,40.87
10.52,40.45
10.46,40.04
10.4,39.63
10.34,39.22
10.28,38.82
10.22,38.42
10.16,38.03
10.1,37.64
10.04,37.25
9.98,36.87
9.92,36.49
9.86,36.12
9.8,35.75
9.74,35.38
9.68,35.02
9.62,34.66
9.56,34.31
9.5,33.96
9.44,33.61
9.38,33.26
9.32,32.92
9.26,32.59
9.2,32.25
9.14,31.92
9.08,31.59
9.02,31.27
8.96,30.95
8.9,30.63
8.84,30.32
8.78,30.01
8.72,29.7
8.66,29.4
8.6,29.1
8.54,28.8
8.48,28.5
8.42,28.21
8.36,27.92
8.3,27.64
8.24,27.35
8.18,27.07
8.12,26.79
8.06,26.52
8.0,26.25
7.94,25.98
7.88,25.71
7.82,25.45
7.76,25.19
7.7,24.93
7.64,24.68
7.58,24.42
7.52,24.17
7.45,23.93
7.39,23.68
7.33,23.44
7.27,23.2
7.21,22.96
7.15,22.72
7.09,22.49
7.03,22.26
6.97,22.03
6.91,21.81
6.85,21.58
6.79,21.36
6.73,21.14
6.67,20.93
6.61,20.71
6.55,20.5
6.49,20.29
6.43,20.08
6.37,19.88
6.31,19.67
6.25,19.47
6.19,19.27
6.13,19.07
6.07,18.88
6.01,18.69
5.95,18.49
5.89,18.31
5.83,18.12
5.77,17.93
5.71,17.75
5.65,17.57
5.59,17.39
5.53,17.21
5.47,17.03
5.41,16.86
5.35,16.68
5.29,16.51
5.23,16.34
5.17,16.18
5.11,16.01
5.05,15.85
4.99,15.68
4.93,15.52
4.87,15.37
4.81,15.21
4.75,15.05
4.69,14.9
4.63,14.75
4.57,14.59
4.51,14.44
4.45,14.3
4.39,14.15
4.33,14.01
4.27,13.86
4.21,13.72
4.15,13.58
4.09,13.44
4.03,13.3
3.97,13.17
3.91,13.03
3.85,12.9
3.79,12.77
3.73,12.63
3.67,12.51
3.61,12.38
3.55,12.25
3.49,12.12
3.43,12.0
3.37,11.88
3.31,11.76
3.25,11.64
3.19,11.52
3.13,11.4
3.07,11.28
3.01,11.17
2.95,11.05
2.89,10.94
2.83,10.83
2.77,10.72
2.71,10.61
2.65,10.5
2.59,10.39
2.53,10.28
2.46,10.18
2.4,10.07
2.34,9.97
2.28,9.87
2.22,9.77
2.16,9.67
2.1,9.57
2.04,9.47
1.98,9.37
1.92,9.28
1.86,9.18
1.8,9.09
1.74,8.99
1.68,8.9
1.62,8.81
1.56,8.72
1.5,8.63
1.44,8.54
1.38,8.46
1.32,8.37
1.26,8.28
1.2,8.2
1.14,8.11
1.08,8.03
1.02,7.95
0.96,7.87
0.9,7.79
0.84,7.71
0.78,7.63
0.72,7.55
0.66,7.47
0.6,7.4
0.54,7.32
0.48,7.25
0.42,7.17
0.36,7.1
0.3,7.02
0.24,6.95
0.18,6.88
0.12,6.81
0.06,6.74
0.0,6.67
